fiscal_year,Query_Run_Date,Customer,popStatecode,StartYearObligatedAmount,StartYearbaseandexercisedoptionsvalue,StartYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2014,05:40.3,Defense,CO,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,2,3,273244,3
2014,05:40.3,Defense,RI,$25 - <$100 million,$5 - <$25 million,Deobligation,1,42,30854817.74,81
2014,05:40.3,Defense,MD,$1 - <$5 million,Deobligation,Deobligation,6,33,12687332.89,34
2014,05:40.3,Defense,KY,Less than $250 thousand,Less than $250 thousand,Deobligation,30,69,1958704.813,69
2014,05:40.3,Defense,RI,Less than $250 thousand,$250 thousand - <$1 million,Deobligation,1,6,106903,6
2014,05:40.3,Defense,AK,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,1,4,378776.0079,4
2014,05:40.3,Defense,NY,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,32046,35797,740274433.4,36654
2014,05:40.3,Defense,DC,$5 - <$25 million,$5 - <$25 million,Deobligation,4,21,51274323.68,32
2014,05:40.3,Defense,DC,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,12,46,131670245.8,51
2014,05:40.3,Defense,PA,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2,11,4686305,11
2014,05:40.3,Defense,WV,Less than $250 thousand,Less than $250 thousand,Deobligation,7,13,253330.6787,13
2014,05:40.3,Defense,KY,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,3,6,546832,6
2014,05:40.3,Defense,NC,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,44,75,22115814.65,75
2014,05:40.3,Defense,NC,Zero value,Zero value,Less than $250 thousand,14,17,0,17
2014,05:40.3,Defense,AL,$5 - <$25 million,$1 - <$5 million,Less than $250 thousand,1,8,5849470.12,8
2014,05:40.3,Defense,RI,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,4,9,1219351,9
2014,05:40.3,Defense,PA,$1 - <$5 million,$5 - <$25 million,Zero value,1,10,2643308,10
2014,05:40.3,Defense,VA,Deobligation,$25 - <$100 million,$25 - <$100 million,1,1,-83971.26,1
2014,05:40.3,Defense,MO,$5 - <$25 million,$1 - <$5 million,Zero value,1,7,20158272,7
2014,05:40.3,Defense,ME,Less than $250 thousand,Less than $250 thousand,Zero value,29,34,480649.5098,34
2014,05:40.3,Defense,VA,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,23,136,197573276.6,145
2014,05:40.3,Defense,IA,Zero value,Zero value,Less than $250 thousand,2,4,0,4
2014,05:40.3,Defense,: ,Zero value,$5 - <$25 million,$5 - <$25 million,6,11,0,11
2014,05:40.3,Defense,VT,Less than $250 thousand,Zero value,Zero value,3,4,28882.04,4
2014,05:40.3,Defense,WA,Greater than $500 million,$100 - <$500 million,$25 - <$100 million,1,17,1396058575,18
2014,05:40.3,Defense,OH,Zero value,Less than $250 thousand,Zero value,1,1,0,1
2014,05:40.3,Defense,FL,Deobligation,Deobligation,Less than $250 thousand,1,1,-147.52,1
2014,05:40.3,Defense,GU,$1 - <$5 million,Zero value,Zero value,2,2,3120605.795,2
