fiscal_year,Query_Run_Date,Customer,popStatecode,StartYearObligatedAmount,StartYearbaseandexercisedoptionsvalue,StartYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2012,35:17.9,Defense,AE,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,1,1,486120,1
2013,35:17.9,Defense,AE,Deobligation,Deobligation,Deobligation,6,7,-226701.5267,7
2008,35:17.9,Defense,AE,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,4,4,234933.12,4
2009,35:17.9,Defense,AE,Zero value,Zero value,Zero value,2,2,0,2
2009,35:17.9,Defense,AE,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,4,352202.78,4
2012,35:17.9,Defense,AE,Less than $250 thousand,Zero value,Zero value,3,6,181584.64,6
2012,35:17.9,Defense,AE,Zero value,Zero value,Zero value,2,3,0,3
2013,35:17.9,Defense,AE,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,13,18,189428.6824,18
2010,35:17.9,Defense,AE,Zero value,Zero value,Zero value,1,2,0,2
2012,35:17.9,Defense,AE,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,3,3,943471.75,3
2010,35:17.9,Defense,AE,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,4,4,2502496.03,4
2011,35:17.9,Defense,AE,Less than $250 thousand,Deobligation,Deobligation,1,2,50074.82,2
2010,35:17.9,Defense,AE,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,20,30,1207401.77,30
2011,35:17.9,Defense,AE,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,1,2,471225.49,2
2010,35:17.9,Defense,AE,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,1,339232.61,1
2008,35:17.9,Defense,AE,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,2,999974.67,2
2012,35:17.9,Defense,AE,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,1,2,356004.74,2
2009,35:17.9,Defense,AE,Deobligation,Deobligation,Deobligation,3,6,-14509.43,6
2011,35:17.9,Defense,AE,Zero value,Zero value,Zero value,7,7,0,7
2010,35:17.9,Defense,AE,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,3,4,1265276.42,4
2011,35:17.9,Defense,AE,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,1,1,346538.58,1
2012,35:17.9,Defense,AE,Deobligation,Deobligation,Deobligation,6,6,-123012.05,6
2010,35:17.9,Defense,AE,Deobligation,Deobligation,Deobligation,12,19,-212735.04,19
2011,35:17.9,Defense,AE,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,1,4,375129,4
2013,35:17.9,Defense,AE,Zero value,Zero value,Zero value,3,3,0,3
2009,35:17.9,Defense,AE,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,12,16,587674.56,16
2012,35:17.9,Defense,AE,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,35,52,1857459.26,52
2012,35:17.9,Defense,AE,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,3,3,4674135.29,3
2010,35:17.9,Defense,AE,Zero value,Less than $250 thousand,Less than $250 thousand,1,1,0,1
2008,35:17.9,Defense,AE,Deobligation,Deobligation,Deobligation,1,1,-16222,1
2011,35:17.9,Defense,AE,Deobligation,Deobligation,Deobligation,6,8,-78137.34,8
2011,35:17.9,Defense,AE,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,14,27,914766.05,27
2011,35:17.9,Defense,AE,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,6,354732.46,6
2011,35:17.9,Defense,AK,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,4,7,2318385,7
2012,35:17.9,Defense,AK,Deobligation,Deobligation,Deobligation,513,644,-30346420.24,648
2010,35:17.9,Defense,AK,Deobligation,Deobligation,Less than $250 thousand,2,5,-40639.58,5
2002,35:17.9,Defense,AK,Zero value,Zero value,$5 - <$25 million,4,4,0,4
