MajorCommandID,pNoEffComp,pEffComp,pPlatOther,pPlatFnC,pPlatEnC,pPlatWnA,pPlatLand,pPlatVessel,pPlatAir,pPlatMnS,pPSRServices,pPSRProducts,pRnD,pPriceFixed,pPriceTime,pPriceCost,pPriceOther,pFeeNone,pFeeRedermination,pFeeEPA,pFeeAward,pFeeIncentive,pFeeEffort,pFeeFixed,pAward,pIDV,pVehPur,pVehFSS,pVehMAC,pVehDef,pVehSAC,pVehOIDV,pVehBPA,pCompNo Comp. (Unlabeled),pNoComp1Source,pNoCompOther,pNoCompFollowOn,pComp1Offer,pComp2Offers,pComp3or4Offers,pComp5pOffers,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,pPscPAMS,pPscOther,pPscERS,pPscEnC,pPscMED,pPscFRSnC,pPscLnM,pPscICT,pPscRnD,pPscMnS,pPscEngines,pPscCloth,pPscLand,pPscAir,pPscShips,pPscFuels,TotalThreshold,AnnualThreshold,Exclude
ORG-2757,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.00e+00,1.00e+06)","[0.00e+00,1.00e+06)",TRUE
ORG-2762,0.924959604,0.075040396,0.201993893,0.3672132,0.387284418,0.043508488,0,0,0,0,0.375608186,0.624391814,0,1,0,0,0,0.986615095,0.005916925,0.00746798,0,0,0,0,0.294222528,0.705777472,0.149966038,0.656098521,0.046060821,0.145036203,0.002838417,0,0,0.461314755,0.043393957,0,0,0.420250891,0.016467057,0.029641694,0.028931646,1.519274579,2.3,0.832626198,1.07381343,25029299.12,97,258034.0116,0.940394677,13671894.18,0.094003313,0.262740533,0.101125841,0.318142792,0.100063363,0.013661088,0.043508488,0.066754581,0,0,0,0,0,0,0,0,"[1.00e+07,1.00e+08)","[1.00e+07,1.00e+08)",TRUE
ORG-2773,0.424295172,0.575704828,0.067173819,0.730683021,0.202113481,0,2.97E-05,0,0,0,0.86905327,0.129921515,0.001025215,0.980900034,0.018996673,0.000103293,0,0.999912703,7.33E-05,-1.41E-06,1.54E-05,0,0,0,0.068322186,0.931677814,0.040241164,0.453592374,0.135928178,0.028088911,0.337818733,5.46E-05,0.004275999,0.000712405,0.003453648,0.053252484,0.002870137,0.403687024,0.169607629,0.31166327,0.054753403,2.219683782,4.143266476,1.086084498,1.440139258,1329852020,15939,83433.84277,0.158819433,227609941.2,0.049592387,0.07023983,0.66933198,0.072401508,0,0.000459438,0,0.136891947,0.000988659,3.86E-05,5.56E-05,0,0,0,0,0,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2774,0.259194506,0.740805494,0.173925433,0.635397177,0.187180881,0.000499266,0.002455814,0.000101396,0.000421541,1.85E-05,0.756517975,0.243158461,0.000323564,0.89167127,0.044357003,0.063960527,1.12E-05,0.792502081,0,0.009080051,0,0.171322744,1.12E-05,0.027083924,0.467827258,0.532172742,0.086762018,0.156197418,0.026263353,0.381144844,0.327797126,0.020971695,0.000863547,0.000105666,0.007974249,0.109681772,0.00190516,0.205147997,0.117907902,0.177796778,0.379480476,5.055765237,7.230486685,1.543633422,1.840458365,2170949072,20306,106911.7045,0.10034443,330933773.1,0.041252668,0.153919457,0.032805502,0.067422487,0.003084517,0.575654755,0.000517059,0.111079382,0.000286218,0.000221179,0.003451635,0.004436591,0.002355403,0.002114576,0.000100944,0.001297627,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2775,0.114968542,0.885031458,0.959795851,0.038507322,0.001473243,0,7.62E-05,0.000147125,2.10E-07,0,0.04630218,0.953600311,9.75E-05,0.997119767,0.002815486,6.84E-06,5.79E-05,0.086914837,0.004098853,0.908620381,0.000314634,1.12E-05,3.83E-05,1.80E-06,0.041665367,0.958334633,0.002334047,0.005401289,0.014774237,0.039356045,0.937802675,0.000290688,4.10E-05,0.000696133,0.00313752,0.003618422,6.20E-05,0.015436742,0.029914403,0.043510137,0.903624613,23.60278439,18.7031346,2.940692773,2.253753345,1.64845E+11,31384,5252516.879,0.209433719,22513304569,0.005283294,0.017102961,0.001446298,0.000280931,7.58E-06,0.039915116,0,0.000733034,9.23E-05,1.88E-07,0.000358089,0.003248547,1.16E-07,1.95E-07,0.000136772,0.931394628,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2776,0.59926765,0.40073235,0.628131559,0.331893653,0.038305888,0.001580633,8.83E-05,0,0,0,0.734761088,0.259144047,0.006094865,0.975858029,0.019686864,0.004455107,0,0.998125026,6.24E-05,0,0,0.001812567,0,0,0.622604075,0.377395925,0.099030022,0.201578293,0,0.523574053,0.175420324,0,0.000397308,0.003715175,0.16363798,0.194662177,5.10E-05,0.236468319,0.156344754,0.183708882,0.06141174,2.462713056,3.671957672,1.133705088,1.346881335,127141825.3,689,184530.9511,1.657624587,23511966.39,0.437475334,0.219869992,0.01537465,0.030094111,0.004420145,0.266884617,0.001526269,0.006588055,0.005885239,0,0.011388023,0,0.000493564,0,0,0,"[1.00e+08,9.07e+11]","[1.00e+07,1.00e+08)",TRUE
ORG-2777,0.173466543,0.826533457,0.156960937,0.81846993,0.021486761,1.61E-05,0.002824406,-1.02E-05,0.000252019,0,0.941533449,0.058040088,0.000426463,0.99953871,0.000448335,1.30E-05,0,0.999794915,8.34E-06,0.000196748,0,0,0,0,0.141273964,0.858726036,0.030743626,0.033281221,0.010195084,0.110546364,0.805128,0.002985986,0.007119718,0.000619826,0.00858346,0.134346816,0.003071566,0.048961395,0.131259527,0.298567139,0.374590272,5.502041231,5.455284553,1.695697305,1.652395507,1042535915,53217,19590.27971,0.018534266,138038224.5,0.115050693,0.045260656,0.053753946,0.012766255,0.000589853,0.761033246,1.47E-05,0.006682241,0.000389338,0.000142469,1.32E-05,0.001226182,0.003029095,0,-9.27E-06,5.74E-05,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2778,0.186463065,0.813536935,0.100349811,0.05650929,0.698822884,0.022242929,0.094143916,0.007340079,0.008948481,0.011642611,0.000121492,0.999878508,0,1.000103639,0,-0.000103639,0,0.965160092,0.000965369,0.033978178,0,0,0,-0.000103639,0.489704693,0.510295307,0.413100902,0.003064689,0.061067849,0.076649337,0.446117223,0,0,0.013220505,0.068371205,0.014685281,0,0.090598877,0.606939036,0.093597336,0.11258776,2.962578559,10.31208054,1.241502446,2.115341019,962215706.9,52083,18474.65981,0.004508906,475534541.8,0.000121492,0.152029129,0,0.698188961,0,0,0.022376607,0,0,0.015148321,0.013957066,0.000699551,0.085510861,0.004748558,0.007219453,0,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2779,0.157660577,0.842339423,0.474259063,0.370712183,0.13434548,0.004540317,0.009090771,0.005879898,0.000653612,0.000518676,0.010772476,0.989227524,0,0.999472242,0.000240984,0.000286774,0,0.991570079,0.000123235,0.008019911,0,0,0,0.000286774,0.947117599,0.052882401,0.700386455,0.001976896,0.016443303,0.246731144,0.034462201,0,0,0.022819545,0.009337162,0.028351885,0,0.103759578,0.594624734,0.085259071,0.155848025,3.328459976,13.21311475,1.290052919,2.225113014,829396409.3,37397,22178.15358,0.007022005,551182546.8,1.10E-05,0.832655371,0,0.134265961,0,0.01076145,0.004569775,0,0,0.0004999,8.94E-05,3.94E-05,0.009238337,0.000730755,0.00586817,0.001270395,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2780,0.429549632,0.570450368,0.206093675,0.255419591,0.270879888,0.00207254,0.01595735,0.000146102,0.249367,6.39E-05,0.003956165,0.996043835,0,0.998925419,5.55E-06,0.000292095,0.000776937,0.983031555,0.000371378,0.01564501,0,0,0.000776937,0.000175121,0.556145102,0.443854898,0.332881782,0.047679378,0.009026875,0.223288708,0.387123258,0,0,0.031011119,0.193385716,0.098160076,0,0.107163556,0.410913367,0.080353617,0.07901255,2.816766604,9.606413994,1.208161804,2.04609162,1374651340,42899,32043.90172,0.007985818,751266654.4,0.003931482,0.401176602,0,0.081751489,0,2.08E-05,0.001886807,3.85E-06,0,0.003752461,0.253632004,0.000350775,0.001427936,0.244489063,0.000846274,0.006730424,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
