Filename,Filename.1,MajorCommandID,pEffComp,pNoEffComp,pPlatEnC,pPlatOther,pPlatFnC,pPlatLand,pPlatVessel,pPlatAir,pPlatWnA,pPlatMnS,pPSRProducts,pPSRServices,pRnD,pPscEnC,pPscICT,pPscPAMS,pPscOther,pPscFRSnC,pPscERS,pPscRnD,pPscLand,pPscFuels,pPscShips,pPscMED,pPscAir,pPscCloth,pPscLnM,pPscMnS,pPscEngines,pPriceFixed,pPriceTime,pPriceCost,pPriceOther,pFeeNone,pFeeEPA,pFeeIncentive,pFeeFixed,pFeeRedermination,pFeeAward,pFeeEffort,pIDV,pAward,pVehBPA,pVehFSS,pVehMAC,pVehPur,pVehSAC,pVehDef,pVehOIDV,pNoComp1Source,pNoCompOther,pNoCompFollowOn,pComp1Offer,pComp2Offers,pComp3or4Offers,pComp5pOffers,pCompNo.Comp...Unlabeled.,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,TotalThreshold,AnnualThreshold,Exclude,PredFit90,PredLwr90,PredUpr90,PredFit95,PredLwr95,PredUpr95
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2773,0.713884985,0.286115015,0.315218515,0.024445865,0.66033562,0,0,0,0,0,0.32939211,0.670151717,0.000456174,0.201429702,0.113788813,0.016296251,0.127962408,0.000524833,0.539541819,0.000456174,0,0,0,0,0,0,0,0,0,1.000513855,-0.000513855,0,0,1,0,0,0,0,0,0,0.795306186,0.204693814,0.044564237,0.35422776,0.187876405,0.071566878,0.20850837,0.13325635,0,0.082145438,0.198666748,0.00847994,0.024423031,0.127742936,0.44445552,0.114086387,0,3.459412169,5.071428571,1.41443508,1.60539556,91295076.67,1741,52438.29792,0.196107024,91295076.67,"[ 1.00e+07, 1.00e+08)","[ 1.00e+07, 1.00e+08)",FALSE,0.586532584,0.309395342,0.863669826,0.586532584,0.253829598,0.919235569
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2774,0.887399461,0.112600539,0.163429021,0.071910223,0.762205991,0.001494771,0.000214665,3.97E-05,0.000705657,0,0.153498517,0.846635257,-0.000133774,0.009017088,0.152104537,-0.000167198,0.13588693,0.669622075,0.020182926,-0.000133774,0.001556681,0.001913308,0.000214665,0.004892917,3.97E-05,0.001357381,0.000705657,5.07E-05,0.002756455,0.759826933,0.087904268,0.152268799,0,0.580616626,0.006134664,0.376785757,0.036462954,0,0,0,0.23757549,0.76242451,0.000458182,0.026189441,0.00897346,0.077791172,0.182978629,0.690110592,0.013498524,0.011318812,0.11230959,0,0.001532891,0.089392088,0.315226635,0.470219984,0,5.346827887,7.046511628,1.725672597,1.811987561,193039955.2,2001,96471.74173,0.209405515,193039955.2,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.712298356,0.431305845,0.993290867,0.712298356,0.374967124,1.049629588
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2775,0.93703451,0.06296549,3.08E-05,0.940473331,0.059491891,4.01E-06,0,0,0,0,0.938291418,0.061685756,2.28E-05,2.98E-05,9.83E-07,0.001692857,0.001841212,0.059582624,0.000407451,2.28E-05,0,0.936417536,0,1.84E-06,0,0,0,0,2.88E-06,0.99992356,7.64E-05,0,0,0.350221872,0.646181044,7.99E-05,0,0.003517158,0,0,0.920896158,0.079103842,1.87E-07,0.000866383,0.009037482,0.002678579,0.891810548,0.076653631,0.018953191,0.001045097,0.000335687,0.000468292,0.018880994,0.040682942,0.064579991,0.874006996,0,26.25563864,16.01190476,2.999802469,2.196440821,12478370268,21688,575358.275,0.029266251,12478370268,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.880259202,0.595964364,1.164554039,0.880259202,0.53896353,1.221554873
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2776,-0.351462296,1.351462296,0.338124203,0.307836271,0.345199694,0.008839832,0,0,0,0,0.382070623,0.617929377,0,0.007017439,0,0.307836271,0.035106588,0.333278285,-0.023185179,0,0.008839832,0,0,0,0,0,0,0,0.331106764,1,0,0,0,1,0,0,0,0,0,0,-0.483019337,1.483019337,0.004497668,-0.487517005,0,0.098740329,0,1.384279008,0,0,0.674541871,0,0.676920426,0.011359604,-0.530444799,0.167622899,0,2.731812785,2.923076923,1.193144369,1.22546855,4528649.183,32,141520.287,5.176846637,4528649.183,"[ 1.00e+06, 1.00e+07)","[ 1.00e+06, 1.00e+07)",TRUE,0.78809267,0.439327872,1.136857469,0.78809267,0.369400874,1.206784467
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2777,0.837031092,0.162968908,0.004285681,0.171852368,0.820451841,0.003410109,0,0,0,0,0.109280192,0.890719808,0,0.002227194,0.00207999,0.1080881,0.104262866,0.654443694,0.125095645,0,0.002865393,-7.53E-05,0,0.001012379,0,0,0,0,0,0.997543596,0.002456404,0,0,1,0,0,0,0,0,0,0.816916594,0.183083406,0.009292656,0.040408389,-0.000272029,0.178412052,0.758480482,0.004734116,0.008944333,0.004472536,0.155099666,-2.67E-05,0.059836906,0.044978171,0.44724914,0.288390283,0,4.50382974,7.224137931,1.594588998,1.747186017,99409555.76,6654,14939.81902,0.014278723,99409555.76,"[ 1.00e+07, 1.00e+08)","[ 1.00e+07, 1.00e+08)",FALSE,0.902440731,0.606535265,1.198346197,0.902440731,0.547206511,1.257674951
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2781,0.899458058,0.100541942,0.026398568,0.18309666,0.473052575,0.000128643,0.310926201,0.006400757,-3.41E-06,0,0.996961659,0.003038341,0,0.0262559,2.37E-05,4.80E-05,0.651467363,0,0.002966612,0,0.000121941,0.000368924,0.310926201,0,0.006409006,0.001298337,-3.41E-06,0,0.000117392,1.000025681,-2.57E-05,0,0,0.925555072,0.065572998,0.00887193,0,0,0,0,0.780512594,0.219487406,0,0.000106271,0.116407878,0.20918425,0.65615727,0.012554545,0.005589786,0.027408044,0.005326294,0,0.066117257,0.151079609,0.077389064,0.672679733,0,10.12279924,12.65863454,2.135493617,2.30996489,2460149468,63139,38964.02331,0.001799798,2460149468,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.762152219,0.476848848,1.04745559,0.762152219,0.419645804,1.104658634
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2783,0.459712943,0.540287057,0.179933475,0.061103186,0.04593286,0.492808752,0.002303711,0.122362014,0.095503088,5.29E-05,1,0,0,0.103262182,0,0,0.102348062,0,0,0,0.457058217,8.78E-06,0.000537896,0,0.071840638,0.004174443,0.095493638,0.000423621,0.164852521,1,0,0,0,0.993214066,0.006785934,0,0,0,0,0,0.321649359,0.678350641,0,0.004672491,0.022737435,0.420618055,0.286336501,0.257924409,0.007711109,0.191141279,0.028140828,0.001392936,0.311358524,0.160754794,0.16254315,0.144668488,0,3.549129259,11.66216216,1.230570783,2.14863184,1265114142,36243,34906.44101,0.005642053,1265114142,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.253486733,-0.05269918,0.559672646,0.253486733,-0.114089153,0.621062619
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2784,0.529679029,0.470320971,0.421172703,0.308965734,0.103533475,0.060833467,0.037256193,0.039304425,0.028327692,0.000606311,0.999429825,0.000570175,0,0.326535415,9.99E-06,1.80E-05,0.406046837,7.13E-05,0.000470878,0,0.073667407,3.79E-05,0.031682399,0,0.007867551,0.002741156,0.027853618,0.00411774,0.118879779,1,0,0,0,0.968272177,0.031727199,0,0,0,6.24E-07,0,0.302374804,0.697625196,0.003407668,0.005589542,0.010508097,0.57330822,0.234283988,0.126809137,0.046093348,0.146980938,0.083261801,0.000414529,0.237284944,0.16053419,0.178751373,0.192772226,0,3.749902891,12.69747899,1.345325582,2.170723418,1886779857,85379,22098.8751,0.002263317,1886779857,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.516456178,0.223815586,0.80909677,0.516456178,0.165141436,0.867770919
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2785,0.960079702,0.039920298,6.83E-05,0.981478128,0.018282148,0.000101929,6.95E-05,0,0,0,0.99998699,1.30E-05,0,3.40E-05,0,1.30E-05,0.018647692,0,0,0,0.000101929,9.03E-05,6.95E-05,0,0,0.981009277,0,0,3.43E-05,1,0,0,0,0.973248278,0.026751722,0,0,0,0,0,0.996736318,0.003263682,0,0.00116341,0.003225704,0.003367037,0.992213563,2.80E-05,2.31E-06,0.007547447,0.00095821,0,0.02759907,0.108658954,0.389686707,0.465549612,0,4.73499163,23,1.582868792,2.576096905,4699400313,177392,26491.61356,0.000525356,4699400313,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.906178111,0.615506717,1.196849504,0.906178111,0.557227389,1.255128832
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2786,0.893737085,0.106262915,7.10E-06,0.989045121,0.010947778,0,0,0,0,0,0.999912934,8.71E-05,0,5.33E-06,1.77E-06,0,0.010953207,6.50E-05,2.02E-05,0,0,0,0,0,0,0.988954397,0,0,0,1,0,0,0,0.928046376,0.071953624,0,0,0,0,0,0.970585408,0.029414592,0.001562712,0,0,0.030040777,0.968396511,0,0,0.116196862,0.004178726,0,0.042552759,0.263570745,0.545829549,0.027671359,0,2.706266243,4.80952381,1.286217155,1.589685459,2100713687,50857,41306.28403,0.002137815,2100713687,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.89894105,0.60919849,1.188683611,0.89894105,0.551105393,1.246776708
