"PoPstateCode","pEffectiveComp","pService","pProduct","pRnD","pAir","pVessel","pLand","pMnS","pWnA","pEnC","wavOffers","avOffers","lwavOffers","lavOffers","pFixed","pCostPlus","pIncentFee","pIDV","TotalValue","TotalCount","avSize","lavSize"
"AE",0.219862300673661,0.908284862454797,0.0917151375452026,0,0,0.0055923742663088,0.00208811961266675,0,0,0.193638597767043,4.80333276980757,5.66666666666667,0.681542675143013,0.753327666658612,0.745214603596917,0.00668549300911975,0,0.914439754735252,0.0187986703141107,174,108038.335138567,5.03357788312644
"AK",0.604781639246116,0.76045605552787,0.217799223734607,0.0217447207375229,0.0085175065185909,0.00113081071024329,0.00151381088011048,0.0092975605517786,0.0011539155131705,0.0518884475472453,8.34194792023104,15.3683823529412,0.921267474166384,1.18662815688401,0.885296206805606,0.0989204628908708,0.0167618276053453,0.547988973783073,24.9530917393189,59507,419330.360114253,5.62255630707985
"AL",0.764479703258132,0.394488834258735,0.215625661459222,0.389885504282043,0.0702877475924257,0.0470750290805983,0.0211086223435694,0.100408196574153,0.012996522744038,0.0831026820895728,5.6020301774868,33.9608260940829,0.748345443987852,1.53097824587516,0.41723825980241,0.505390146971777,0.0280692648205997,0.432990019649167,113.206044281737,165907,682346.400584287,5.83400490496381
"AR",0.534888096456984,0.549019336922284,0.441090201800831,0.00989046127688601,0.0175691941908424,0.0158883798402242,0.00332301794686182,0.00650807818663262,0.210564556352933,0.0166694825096817,6.41863027708234,20.3836036825954,0.807442360378563,1.30928096677107,0.853551224416615,0.141750359343325,-1.64783507442536e-06,0.443845354318114,11.4935477655167,36570,314288.973626381,5.49732914469171
"AS",0.643622305314579,0.6610920984283,0.3389079015717,0,0,0,0,0,0,0.0177282927922774,29.0569391217221,6.73394495412844,1.46324986348715,0.828269561975447,1,0,0,0.452207466517835,0.0638597905168902,201,317710.400581544,5.50203143214298
"AZ",0.393967123339789,0.328066280691634,0.58477212741132,0.0871615918970468,0.147988834288696,0.000469651022317684,0.0292774364309936,0.306238881975976,0.0876249925153892,0.06922395818233,5.02303864084859,40.6485959438378,0.70096651907987,1.60904554908446,0.675379554726143,0.30427908862961,0.022375675072182,0.202412100655096,152.986066716143,198589,770365.260493499,5.88669669011317
"CA",0.474203674046647,0.34840413626884,0.431401798684614,0.220194065046546,0.20059952841282,0.0378509439899395,0.0102468549526548,0.197415438534517,0.0155855314891363,0.123884673281306,8.35775910481591,43.011701308699,0.922089849344473,1.63358662121875,0.53591786432709,0.442320943266123,0.0393973912761096,0.386144881683964,517.185377224627,1138253,454367.682074747,5.65740743362782
"CO",0.5865559689814,0.481382421189125,0.312925979774252,0.205691599036623,0.00929336384970533,0.000189730119905508,0.00142677854489794,0.266653480705277,0.0439510176882635,0.161966968090391,7.04435314756721,36.3735370611183,0.847841119895367,1.56078553507822,0.446968852497751,0.512358348941899,0.0103656276440245,0.480313285974423,66.2671573787003,127392,520183.036444206,5.71615618542464
"CT",0.0905423116498178,0.0822421772710942,0.754421691782087,0.163336130946819,0.526053565289016,0.308394655986898,0.00739440390226058,0.00214886156988183,0.0140574353354871,0.0267599660797496,12.6300747298088,47.0430987452264,1.1014059202028,1.67249592113842,0.688924253399186,0.308929384629661,0.122470693481068,0.271658752928018,139.982822213057,208755,670560.332509672,5.82643785884273
"DC",0.539796625553357,0.723641948325669,0.207298683332768,0.0690593683415627,0.000589192621435509,0.0991397917270117,0.00237629268601603,0.00701502386336232,0.000765704430507889,0.231852529590708,8.1013522243012,21.1646266829865,0.908557514500687,1.32561061247699,0.56451579136705,0.383197283677785,0.0083578826513923,0.619620945645985,56.8380505630393,112767,504030.882820677,5.70245714721478
"DE",0.592145433730466,0.637890962794919,0.294092600960327,0.0680164362447539,0.0250876345651607,0.00180102539334627,0.00648403893180978,0.00166273619160204,0.00589474163552949,0.0542018786826508,20.5712094597532,48.0404164115126,1.31325982627205,1.68160676318629,0.904227228754549,0.0787941879621784,0,0.474289343289058,3.13824961456176,16370,191707.368024543,5.28263880474509
"FL",0.511186027412281,0.443970991637733,0.466476493097573,0.0895525152646938,0.0983061030104015,0.0178841399992081,0.00864736743221342,0.063069241686109,0.104167531135885,0.180545700588228,6.20400998442351,33.057312492427,0.792672488073957,1.51926754321146,0.748693548589448,0.209082297315157,0.0192880271039713,0.511790485153684,163.300483711576,450223,362710.220738558,5.55955979364996
"GA",0.394412633356622,0.399777909184991,0.545838951022216,0.0543831397927926,0.452574699052733,0.00251706346604174,0.0174505095962412,0.00272173337159967,0.00580536916595027,0.0762869562002706,9.89008851722677,31.7601926163724,0.995200178591224,1.50188312763333,0.829266211259646,0.132230455079858,0.0328983467798691,0.390087279491223,96.7679522983831,259080,373506.068775603,5.57229766268246
"GU",0.842652082450563,0.916034288517808,0.0834873876396008,0.000478323842590919,0.000673928645255772,0.05160964538931,0.00226448697034149,0,0.000565331821173746,0.0160382948301808,7.51411775797142,8.38935756002596,0.875877996854122,0.923728704712092,0.845509287998973,0.144515791133639,-4.26448440423608e-06,0.506298066179094,7.17787812732983,27441,261574.947244263,5.41759614640072
"HI",0.733969317059961,0.748817881019235,0.204979248232996,0.0462028707477686,0.00404474436845544,0.0498186114025317,0.00139891870520237,0.00514561561887954,0.0032660930358532,0.0873634049890379,10.7058956499539,27.2638319672131,1.02962300601266,1.43558689644572,0.806327154117589,0.161165263365144,0.00295759898190515,0.631922236050638,31.4986982553725,151733,207592.931368737,5.31721256150871
"IA",0.456027635128193,0.200080634582587,0.704204832099345,0.0957145333180676,0.144127141755502,0.00193528941726784,0.00927993875792738,0.00282513181848982,0.0510138659691296,0.473690812987711,9.66140462242298,28.1765517241379,0.985040270869062,1.44988784261251,0.787553708573853,0.192969014892417,0.00325652682770974,0.46193398773431,15.0510940207454,43949,342467.269351871,5.53461907095509
"ID",0.704756862231084,0.560296255183769,0.38784380762534,0.0518599371908914,0.020107534994781,0.0111933130868605,0.00525348252631578,0.00381369352481598,0.00688153499914706,0.16405378670002,12.0392881674758,17.0689848569826,1.08060080967294,1.23220769310533,0.912844753328708,0.0811206002294003,9.5292807069106e-05,0.651147208682398,3.1273824848217,21352,146467.89456827,5.16574243875232
"IL",0.588349393742723,0.276252876695423,0.660293307831874,0.0634538154727028,0.0687534884202664,0.00307235386456476,0.202638125957126,0.00227386297876158,0.0494688498533939,0.173000618689815,8.09081011976897,34.7500459812397,0.907992008995541,1.54095538358471,0.866780996334815,0.103484160237142,0.0012303407686965,0.695711777804144,69.0074595831367,436291,158168.423330155,5.19911978546845
"IN",0.279361836289183,0.207117243426106,0.750302262633483,0.0425804939404111,0.117258377490927,0.000951979991717694,0.379035398483293,0.00817673324125217,0.00994174920601806,0.172176032264141,6.1621090863508,25.6334651507662,0.789729382260841,1.40880731840179,0.856087260979647,0.127787423869729,0.00504634793499103,0.487153853645784,61.5702948555363,141230,435957.621295307,5.63944427428666
"KS",0.441840222404797,0.505905035490016,0.445176444316455,0.0489185201935292,0.448057529727927,0.000347042857416992,0.010597071853961,0.000556175462333928,0.0157186750337196,0.0445552474529024,5.38597034905635,17.5824822036521,0.731263958196053,1.24508018650861,0.809809742543893,0.144539652189418,0.00674129527096215,0.465151267474731,27.3149769848698,83293,327938.446026314,5.51579233438302
"KY",0.818941907652119,0.843135424583212,0.15264087361121,0.00422370180557765,0.0217188664420497,0.00157583190272621,0.00367495197558281,0.000429582033343173,0.0522993645479517,0.0200206898338464,3.58933342111731,15.1562965168205,0.555013802781737,1.18059309319567,0.428398006370793,0.555385078916434,8.12656459770033e-05,0.284087699067124,69.7548599045141,119147,585452.087795027,5.76749135908788
"LA",0.755149111869415,0.618177997464792,0.375284497882925,0.0065375046522829,0.00320085337893802,0.150429815274862,0.063123879450207,0.0010974230216326,0.00218193005853438,0.0829258365156272,8.60709788441355,18.3527131782946,0.934856742017472,1.26370027737606,0.803568684337289,0.190865183661022,0.0230161335098402,0.422980744118633,51.4393144009677,98330,523129.40507442,5.71860913238194
"MA",0.255731521679544,0.221046621770271,0.483809172444232,0.295144205785497,0.14346824428757,0.00926186221012821,0.0105288890464768,0.118012755648511,0.108887521880123,0.263996877166681,13.0459944013962,50.472364593434,1.11547718781185,1.70305365158973,0.589310049032289,0.370657171853725,0.00841797127652635,0.397780918179029,144.26861388058,221023,652731.226526562,5.81473438975095
"MD",0.488979107680471,0.560982188052933,0.301070695777529,0.137947116169538,0.0744418495061445,0.0272816629450598,0.00467714286203532,0.0269698302342177,0.0222691662476296,0.240667082254398,10.0675534615098,41.2689595313009,1.00292394451012,1.6156235196283,0.551237501431882,0.343932656922852,0.0206423655728768,0.623626989020331,160.873223774557,416268,386465.507256279,5.58711073841802
